loss,val_loss,learning_rate
0.7304750084877014,0.6681577563285828,0.0010000000474974513
0.665056586265564,0.6045721173286438,0.0010000000474974513
0.6096139550209045,0.548737645149231,0.0010000000474974513
0.560991108417511,0.4995056688785553,0.0010000000474974513
0.5171592235565186,0.455186665058136,0.0010000000474974513
0.4771067500114441,0.41488972306251526,0.0010000000474974513
0.4401240050792694,0.37782490253448486,0.0010000000474974513
0.405862420797348,0.34372276067733765,0.0010000000474974513
0.3740953803062439,0.3123449981212616,0.0010000000474974513
0.3444337546825409,0.2834356725215912,0.0010000000474974513
0.31684020161628723,0.25678300857543945,0.0010000000474974513
0.29129359126091003,0.23236767947673798,0.0010000000474974513
0.2677399218082428,0.2102687805891037,0.0010000000474974513
0.24604110419750214,0.190589040517807,0.0010000000474974513
0.22623662650585175,0.17299899458885193,0.0010000000474974513
0.20804910361766815,0.15717868506908417,0.0010000000474974513
0.1912854164838791,0.14298443496227264,0.0010000000474974513
0.1757742017507553,0.1301979124546051,0.0010000000474974513
0.16135945916175842,0.11855170875787735,0.0010000000474974513
0.14792729914188385,0.10793743282556534,0.0010000000474974513
